"id","issint","threat.MMR","threat.PHL","imp.MMR","imp.PHL","odaimp","potential.MMR","potential.PHL","threat.CHN","threat.CHN.3cat","treatment","treat_China","treat_MMR","treat_PHL","med_econ","med_secu","med_repu","med_effi","cancel_aid","cancel_aid_3cat","cancel_aid_2cat","fem","age","right","ide3","comply"
1529,"0","0","0","0","0",0,"0","0",0,"0",1,0,1,0,"3","3","3","3","7","3",1,1,62,1,"2",1
1530,"1","0","0","0","0",1,"0","0",1,"2",3,1,0,1,"4","3","3","3","6","2",1,0,37,1,"2",1
1531,"2","1","1","1","2",1,"1","2",1,"1",3,1,0,1,"5","5",NA,"3","4","2",1,1,54,0,"1",1
1532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,29,NA,NA,1
1533,"1","0","1","0","0",1,"1","1",1,"1",2,1,1,0,"3","3","4","3","5","2",1,1,60,0,"1",1
1534,"0","0","0","0","1",0,"1","1",1,"2",5,0,0,1,"4","3","3","3","4","2",1,0,50,0,"0",1
1536,"1","1","1","1","1",1,"1","1",0,"0",5,0,0,1,"3","3","3","3","5","2",1,0,22,0,"1",2
1538,"1","0","0","1","1",1,"1","1",1,"1",5,0,0,1,"3","3","3","3","5","2",1,1,48,0,"1",1
1541,"1","2","0","2","2",1,"2","2",1,"2",1,0,1,0,"4","4","4","3","3","1",0,1,60,1,"2",1
1542,"1","0","0","1","2",0,"2","2",1,"2",2,1,1,0,"4","3","2","3","7","3",1,0,26,1,"2",1
1543,"1","0","1","0","1",1,"0","0",1,"1",2,1,1,0,"3","3","3","3","7","3",1,1,42,1,"2",2
1544,"1","0","0","1","1",1,"1","2",1,"2",2,1,1,0,"4","4","4","2","2","1",0,0,63,1,"2",1
1547,"2","0","0","2","2",0,"1","1",1,"2",5,0,0,1,"5","5","3","3","1","1",0,0,46,1,"2",1
1551,"0","1","0","1","1",0,"1","1",1,"1",5,0,0,1,"3","3","3","3","4","2",1,1,53,0,"1",1
1553,"1","1","1","1","1",1,"1","1",1,"2",5,0,0,1,"1","2","5","4","5","2",1,0,21,1,"2",2
1554,"2","0","0","0","2",1,"1","2",1,"1",1,0,1,0,"4","3","3","3","8","3",1,0,65,1,"2",1
1555,NA,"2","2",NA,NA,NA,"1","1",1,"1",2,1,1,0,"3","3","3","3","6","2",1,0,29,NA,NA,1
1557,"1","1","1","1","1",1,"0","1",1,"2",5,0,0,1,"3","4","5","4","3","1",0,0,53,0,"1",1
1558,"1","1","0","1","1",1,"1","1",1,"1",2,1,1,0,"3","4","4","4","4","2",1,1,53,0,"1",1
1559,"2","0","0","2","2",1,"2","2",1,"2",2,1,1,0,"5","5","2","3","2","1",0,0,42,0,"0",1
1560,"0","0","0","0","0",1,"2","2",1,"2",1,0,1,0,"4","4","3","2","3","1",0,1,49,0,"1",1
1562,"2","0","0","0","2",1,"1","1",1,"2",2,1,1,0,"4","3","2","3","8","3",1,1,53,0,"0",1
1563,"1","1","1","1","1",1,"1","0",0,"0",5,0,0,1,"3","3","3","3","5","2",1,1,65,0,"1",1
1564,"2","0","0","2","2",1,"2","2",1,"2",5,0,0,1,"5","4","4","3","2","1",0,0,36,0,"1",1
1565,"1","0","0","2","2",1,"2","2",1,"2",1,0,1,0,"5","4","3","3","3","1",0,0,43,0,"1",2
1566,"2","0","0","0","0",1,"2","1",1,"2",3,1,0,1,"4","4","3","3","3","1",0,0,36,1,"2",1
1568,"1","0","0","1","1",0,"1","1",1,"2",3,1,0,1,"3","3","3","3","4","2",1,0,44,0,"1",1
1569,"1","0","0","1","2",1,"1","2",0,"0",5,0,0,1,"4","4","4","2","2","1",0,0,67,0,"0",1
1570,"0","0","0","1","1",1,"1","1",1,"2",3,1,0,1,"3","4","4","3","4","2",1,0,38,0,"1",1
1571,"0","0","0","1","1",1,"1","1",0,"0",5,0,0,1,"4","3","3","3","4","2",1,1,45,NA,NA,1
1573,"1","0","0","0","1",1,"0","0",1,"2",1,0,1,0,"4","4","4","2","2","1",0,0,48,0,"0",1
1575,"1","0","0","1","2",1,"0","0",0,"0",1,0,1,0,"4","3","3","2","3","1",0,0,60,1,"2",1
1578,"1","0","0","2","2",1,"1","1",1,"2",1,0,1,0,"4","3","4","3",NA,NA,NA,0,68,1,"2",2
1580,"0","1","1","2","2",NA,"1","2",1,"2",1,0,1,0,"4","3","3","3","4","2",1,0,56,1,"2",1
1582,"0","1","1","2","2",NA,"1","1",1,"2",2,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,61,0,"1",1
1584,NA,NA,NA,NA,NA,NA,NA,NA,1,"2",3,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,44,NA,NA,1
1586,"1","0","0","0","0",0,"0","0",1,"1",5,0,0,1,"3","3","3","3","8","3",1,1,57,0,"0",1
1587,"1","0","0","1","1",1,"1","1",0,"0",1,0,1,0,"3","3","3","3","6","2",1,0,68,1,"2",1
1588,"1","1","1","0","1",1,"2","2",1,"2",1,0,1,0,"4","3","3","3","8","3",1,1,62,1,"2",1
1589,"2","0","1","2","2",1,"2","2",1,"2",1,0,1,0,"5","5","3","3","2","1",0,1,41,1,"2",1
1590,"1","1","0","2","2",1,"2","2",0,"0",1,0,1,0,"4","4","3","3","6","2",1,0,38,0,"0",1
1591,"1","0","0","1","1",1,"1","1",0,"0",2,1,1,0,"4","3","4","3","4","2",1,1,33,1,"2",1
